neighborhood,rentsmart_case_count,rentsmart_median_building_age,rentsmart_share_pre_1940,rentsmart_share_pre_1900,rentsmart_share_remodeled,rentsmart_share_condo,rentsmart_share_multifamily
Allston,22067,113.0,0.8177442789683981,0.21494733018525244,0.593,0.142,0.76
Boston,75157,117.0,0.6967790707092524,0.3910877723480656,0.578,0.347,0.619
Brighton,27874,106.0,0.748982165375608,0.07119437939110071,0.509,0.173,0.722
Charlestown,7793,127.0,0.678843423260617,0.553762746869756,0.449,0.38,0.351
Chestnut Hill,99,76.0,0.021052631578947368,0.0,0.545,0.0,0.434
Dorchester,91344,121.0,0.8748168758162512,0.1256033161092499,0.499,0.078,0.792
East Boston,25470,121.0,0.8491910940253083,0.15465321159698864,0.456,0.13,0.782
Hyde Park,11689,101.0,0.5619624363700193,0.11883447428471125,0.488,0.054,0.623
Jamaica Plain,15284,116.0,0.815712187958884,0.14657589106928315,0.484,0.188,0.656
Mattapan,20644,106.0,0.6762768544791244,0.02862788812322659,0.49,0.051,0.726
Mission Hill,16829,121.0,0.7770873552123552,0.1421935328185328,0.583,0.07,0.849
Roslindale,10466,106.0,0.7983839938437861,0.0944594074644094,0.418,0.099,0.574
Roxbury,39132,126.0,0.723175965665236,0.3804641551422667,0.512,0.266,0.641
South Boston,27623,126.0,0.8106334341125285,0.3716908782538161,0.436,0.338,0.512
West Roxbury,6121,86.0,0.4869406088837132,0.060389286308434535,0.373,0.107,0.369
