neighborhood,property_count,median_building_age,mean_building_age,share_pre_1940,share_pre_1900,share_remodeled,median_total_value,median_building_value,median_land_value,median_living_area,median_gross_area,median_land_sf,share_condo,share_multifamily,population_2025,properties_per_1000_residents
Allston,4178,105.0,92.57,0.673,0.132,0.543,546200.0,507050.0,0.0,1204.0,1243.0,1368.5,0.572,0.291,31810,131.342
Back Bay,8750,125.0,105.642,0.672,0.435,0.692,876650.0,854650.0,0.0,1054.0,1059.5,1117.0,0.911,0.056,18983,460.939
Beacon Hill,4074,126.0,120.442,0.784,0.549,0.749,812800.0,792200.0,0.0,967.0,970.0,880.0,0.782,0.095,9327,436.796
Brighton,11859,96.0,85.215,0.604,0.061,0.505,484300.0,450600.0,0.0,1056.1,1063.5,1129.0,0.626,0.244,55869,212.264
Charlestown,6807,126.0,105.23,0.617,0.502,0.556,721700.0,660000.0,0.0,1211.0,1291.0,1135.0,0.722,0.085,19232,353.941
Chinatown,417,100.0,72.434,0.492,0.309,0.441,711100.0,542500.0,0.0,1102.0,1102.0,1043.0,0.626,0.201,6371,65.453
Dorchester,27128,115.0,100.318,0.725,0.124,0.445,631850.0,479500.0,186300.0,2422.0,3964.0,3546.0,0.295,0.431,123056,220.452
Downtown,6088,37.0,52.898,0.202,0.134,0.389,909750.0,890200.0,0.0,1195.0,1196.0,1195.0,0.956,0.018,15752,386.491
East Boston,9467,115.0,89.521,0.654,0.107,0.426,610300.0,515800.0,91600.0,1641.0,2457.5,1522.0,0.457,0.376,46892,201.889
Fenway,4061,115.0,98.559,0.74,0.188,0.748,527100.0,523700.0,0.0,684.0,684.0,693.0,0.878,0.092,42351,95.889
Hyde Park,8510,80.0,84.787,0.418,0.074,0.318,524850.0,337900.0,189400.0,1608.0,2674.0,5436.5,0.142,0.235,33469,254.265
Jamaica Plain,11737,111.0,94.122,0.678,0.111,0.532,647400.0,578900.0,0.0,1481.5,1815.0,2301.0,0.612,0.176,42949,273.278
Longwood,265,110.0,70.247,0.509,0.06,0.513,435100.0,435100.0,0.0,569.0,569.0,572.0,0.932,0.023,5553,47.722
Mattapan,4434,95.0,88.681,0.526,0.027,0.351,546400.0,368250.0,174950.0,1936.0,3206.0,4790.0,0.097,0.42,24424,181.543
Mission Hill,270,115.0,110.317,0.919,0.104,0.685,636250.0,584800.0,172268.0,2607.0,3615.5,1823.5,0.404,0.504,19000,14.211
North End,4093,125.0,103.047,0.689,0.309,0.713,708000.0,688700.0,0.0,977.0,983.0,899.0,0.815,0.122,10635,384.861
Roslindale,8859,105.0,92.524,0.652,0.075,0.411,616700.0,448700.0,194900.0,1674.0,2683.0,4500.0,0.332,0.242,29378,301.552
Roxbury,7281,120.0,93.068,0.601,0.228,0.434,571500.0,460200.0,103191.0,2082.0,3032.0,2173.5,0.381,0.365,56800,128.187
South Boston,14951,120.0,88.948,0.588,0.268,0.481,679400.0,630500.0,0.0,1205.0,1258.0,1207.0,0.735,0.141,40904,365.514
South Boston Waterfront,2093,8.0,37.374,0.214,0.059,0.238,1068100.0,1067000.0,0.0,1255.0,1255.0,1267.5,0.988,0.004,8289,252.503
South End,10823,125.0,95.338,0.572,0.369,0.58,757900.0,750100.0,0.0,1056.0,1060.0,1107.0,0.874,0.067,34582,312.966
West End,1950,61.0,63.368,0.07,0.064,0.592,406600.0,406600.0,0.0,833.0,833.0,833.0,0.979,0.007,9306,209.542
West Roxbury,10982,85.0,82.325,0.451,0.038,0.379,635200.0,421400.0,218050.0,1554.6,2655.5,5008.0,0.2,0.099,31381,349.957
